Symbol,Price~,Type,Strike,Expires,DTE,"Bid x Size","Ask x Size",Trade,Size,Side,Premium,Volume,"Open Int",IV,Delta,Code,*,Time
MSOS,4.135,Call,4,2026-02-20T16:30:00-06:00,0,"0.16 x 219","0.18 x 75",0.16,4551,bid,72800,6002,33476,101.85%,0.74396793215967,AUTO,N/A,"09:30:55 ET"
SOXL,65,Call,64,2026-02-27T16:30:00-06:00,7,"3.85 x 172","5.00 x 109",5,142,ask,71000,320,508,125.32%,0.57148067622438,AUTO,N/A,"09:31:05 ET"
TLT,89.66,Put,85,2026-12-31T16:30:00-06:00,314,"2.15 x 61","2.16 x 10",2.16,235,ask,50700,835,526,14.27%,-0.2788942388,SLAN,N/A,"09:31:07 ET"
TLT,89.66,Put,85,2026-12-31T16:30:00-06:00,314,"2.15 x 287","2.16 x 10",2.15,234,bid,50300,835,526,14.27%,-0.2788942388,SLAN,N/A,"09:31:08 ET"
EFA,104.02,Call,103.5,2026-03-06T16:30:00-06:00,14,"1.54 x 443","1.58 x 108",1.54,101,bid,15500,225,1030,16.23%,0.56268733028324,AUTO,N/A,"09:31:09 ET"
SPY,683.18,Put,665,2026-02-20T16:30:00-06:00,0,"0.06 x 2630","0.07 x 732",0.07,2883,ask,20100,4236,40209,24.36%,-0.0160908349,AUTO,N/A,"09:31:11 ET"
SPY,683.18,Put,666,2026-02-20T16:30:00-06:00,0,"0.08 x 2328","0.09 x 2000",0.09,2000,ask,18000,3667,5288,23.83%,-0.0193084501,AUTO,N/A,"09:31:11 ET"
TQQQ,48.455,Put,47,2026-02-27T16:30:00-06:00,7,"1.70 x 121","1.76 x 2",1.7,180,bid,30600,213,3071,89.92%,-0.377573335,AUTO,N/A,"09:31:14 ET"
HYG,80.875,Put,80,2026-04-17T16:30:00-05:00,56,"0.47 x 637","0.49 x 211",0.49,1495,ask,73200,18024,186299,7.92%,-0.3306963651,AUTO,N/A,"09:31:16 ET"
USO,80.65,Call,83,2026-03-20T16:30:00-05:00,28,"3.90 x 95","4.00 x 2",3.96,270,mid,106900,317,25209,55.31%,0.46306378735074,MLET,N/A,"09:31:16 ET"
UVXY,40.79,Call,32,2026-02-20T16:30:00-06:00,0,"8.50 x 199","9.45 x 505",9.45,119,ask,112400,132,1667,451.34%,0.87547574526951,ISOI,N/A,"09:31:18 ET"
IBIT,38.07,Call,38,2026-03-06T16:30:00-06:00,14,"1.57 x 861","1.57 x 300",1.57,300,ask,47100,301,2959,52.82%,0.53307922310489,AUTO,N/A,"09:31:24 ET"
EEM,61.15,Call,61.5,2026-02-27T16:30:00-06:00,7,"0.52 x 22","0.53 x 922",0.52,136,bid,7000,305,3333,21.04%,0.43245677744394,AUTO,N/A,"09:31:30 ET"
SQQQ,72.79,Call,78,2026-02-27T16:30:00-06:00,7,"1.67 x 79","1.95 x 150",1.82,150,mid,27300,171,729,92.87%,0.31994482621232,MLET,N/A,"09:31:40 ET"
HYG,80.875,Put,79,2026-04-17T16:30:00-05:00,56,"0.32 x 726","0.33 x 297",0.33,1200,ask,39600,8496,420057,8.81%,-0.2216945783,AUTO,N/A,"09:31:42 ET"
USO,80.65,Call,80,2026-03-20T16:30:00-05:00,28,"5.00 x 362","5.15 x 91",4.97,250,bid,124200,530,5416,51.95%,0.5586704894142,AUTO,N/A,"09:31:45 ET"
HYG,80.875,Put,79,2026-04-17T16:30:00-05:00,56,"0.30 x 258","0.33 x 292",0.34,1482,ask,50300,8496,420057,8.81%,-0.2216945783,AUTO,N/A,"09:31:47 ET"
SQQQ,72.79,Call,72,2026-02-20T16:30:00-06:00,0,"1.65 x 488","1.66 x 443",1.65,443,bid,73000,456,2328,82.70%,0.60939596002365,AUTO,N/A,"09:31:51 ET"
HYG,80.875,Put,79,2026-04-17T16:30:00-05:00,56,"0.33 x 127","0.34 x 143",0.34,2039,ask,69300,8496,420057,8.81%,-0.2216945783,AUTO,N/A,"09:31:56 ET"
ZSL,2.22,Put,1,2027-01-15T16:30:00-06:00,329,"0.00 x 0","0.50 x 795",0.2,684,mid,13600,684,970,117.53%,-0.0974229061,AUTO,N/A,"09:31:56 ET"
HYG,80.875,Put,80,2026-04-17T16:30:00-05:00,56,"0.51 x 571","0.53 x 500",0.52,1176,mid,61100,18024,186299,7.92%,-0.3306963651,AUTO,N/A,"09:32:03 ET"
HYG,80.875,Put,80,2026-04-17T16:30:00-05:00,56,"0.52 x 300","0.53 x 211",0.53,1291,ask,68400,18024,186299,7.92%,-0.3306963651,AUTO,N/A,"09:32:03 ET"
XLF,51.98,Call,51.5,2026-02-27T16:30:00-06:00,7,"0.93 x 789","0.98 x 52",0.93,357,bid,33200,479,405,22.66%,0.62759382350299,AUTO,N/A,"09:32:04 ET"
SPY,683.18,Call,695,2026-02-23T16:30:00-06:00,3,"0.11 x 653","0.12 x 744",0.11,1569,bid,17200,1886,6352,10.89%,0.043618000073695,SLAN,N/A,"09:32:05 ET"
IBIT,38.07,Call,60,2026-06-18T16:30:00-05:00,118,"0.37 x 609","0.39 x 124",0.37,500,bid,18500,1402,30908,50.81%,0.082433100649899,AUTO,N/A,"09:32:05 ET"
SILJ,35.22,Call,38,2026-08-21T16:30:00-05:00,182,"5.50 x 196","5.90 x 244",5.45,253,bid,137800,300,1671,66.18%,0.5435929184069,AUTO,N/A,"09:32:06 ET"
DIA,492.27,Put,495,2026-03-20T16:30:00-05:00,28,"9.60 x 50","9.85 x 10",9.6,122,bid,117100,127,2440,16.07%,-0.5251893751,AUTO,N/A,"09:32:07 ET"
HYG,80.875,Put,80,2026-04-17T16:30:00-05:00,56,"0.52 x 439","0.55 x 276",0.53,1079,mid,57100,18024,186299,7.92%,-0.3306963651,AUTO,N/A,"09:32:08 ET"
HYG,80.875,Put,80,2026-04-17T16:30:00-05:00,56,"0.54 x 439","0.54 x 295",0.54,439,ask,23700,18024,186299,7.92%,-0.3306963651,AUTO,N/A,"09:32:08 ET"
HYG,80.875,Put,79,2026-04-17T16:30:00-05:00,56,"0.34 x 164","0.36 x 2171",0.36,1743,ask,62700,8496,420057,8.81%,-0.2216945783,AUTO,N/A,"09:32:11 ET"
SQQQ,72.79,Put,68,2026-03-20T16:30:00-05:00,28,"2.84 x 1500","3.15 x 1",2.85,269,mid,76600,309,212,63.68%,-0.3129321037,AUTO,ToOpen,"09:32:12 ET"
HYG,80.875,Put,80,2026-04-17T16:30:00-05:00,56,"0.53 x 1","0.54 x 509",0.54,500,ask,27000,18024,186299,7.92%,-0.3306963651,AUTO,N/A,"09:32:13 ET"
TSLL,15.3186,Put,16.5,2026-02-20T16:30:00-06:00,0,"1.22 x 1723","1.60 x 1618",1.41,200,mid,28200,204,2442,143.65%,-0.8308579895,MLET,N/A,"09:32:15 ET"
TSLL,15.3186,Put,16,2026-03-06T16:30:00-06:00,14,"1.08 x 3468","1.72 x 3599",1.41,200,mid,28200,200,1028,76.70%,-0.5824438389,MLET,N/A,"09:32:15 ET"
IBIT,38.07,Put,37.5,2026-02-27T16:30:00-06:00,7,"0.85 x 253","0.89 x 79",0.89,4996,ask,444600,5010,2772,55.73%,-0.4045355745,SLAN,BuyToOpen,"09:32:15 ET"
IBIT,38.07,Call,40,2026-02-27T16:30:00-06:00,7,"0.37 x 173","0.39 x 46",0.39,804,ask,31300,840,21568,50.41%,0.25347515275804,SLAN,N/A,"09:32:19 ET"
HYG,80.875,Put,80,2026-04-17T16:30:00-05:00,56,"0.55 x 4151","0.57 x 546",0.55,4151,bid,228300,18024,186299,7.92%,-0.3306963651,AUTO,N/A,"09:32:20 ET"
SMH,409.955,Put,405,2026-02-20T16:30:00-06:00,0,"1.43 x 203","1.51 x 1",1.51,234,ask,35300,579,2361,38.11%,-0.2648427805,AUTO,N/A,"09:32:21 ET"
TQQQ,48.455,Put,48,2026-02-27T16:30:00-06:00,7,"2.01 x 66","2.09 x 1849",2.01,803,bid,161400,875,4493,81.66%,-0.4423485067,AUTO,N/A,"09:32:21 ET"
HYG,80.875,Put,80,2026-04-17T16:30:00-05:00,56,"0.51 x 46","0.55 x 1397",0.55,4303,ask,236600,18024,186299,7.92%,-0.3306963651,AUTO,N/A,"09:32:28 ET"
XLF,51.98,Call,51,2026-03-20T16:30:00-05:00,28,"1.83 x 40","1.92 x 195",1.83,408,bid,74600,443,14481,21.49%,0.64751573426853,AUTO,N/A,"09:32:30 ET"
HYG,80.875,Put,80,2026-04-17T16:30:00-05:00,56,"0.52 x 160","0.55 x 907",0.55,1093,ask,60100,18024,186299,7.92%,-0.3306963651,AUTO,N/A,"09:32:38 ET"
UNG,11.88,Call,15,2026-04-17T16:30:00-05:00,56,"0.37 x 20","0.42 x 6655",0.39,129,mid,5000,144,8723,68.35%,0.23700280401241,SLAN,N/A,"09:32:39 ET"
SMH,409.955,Put,407.5,2026-02-20T16:30:00-06:00,0,"1.98 x 117","2.44 x 64",1.98,117,bid,23100,264,465,37.06%,-0.372222517,ISOI,N/A,"09:32:42 ET"
SMH,409.955,Put,407.5,2026-02-20T16:30:00-06:00,0,"1.97 x 1","2.05 x 117",2.05,117,ask,23900,264,465,37.06%,-0.372222517,AUTO,N/A,"09:32:42 ET"
HYG,80.875,Put,80,2026-04-17T16:30:00-05:00,56,"0.52 x 176","0.55 x 907",0.55,907,ask,49800,18024,186299,7.92%,-0.3306963651,AUTO,N/A,"09:32:43 ET"
XLE,55.005,Call,57.5,2026-04-17T16:30:00-05:00,56,"1.20 x 440","1.20 x 250",1.2,250,ask,30000,299,26247,25.76%,0.35823018857067,AUTO,N/A,"09:32:43 ET"
IBIT,38.07,Call,60,2026-06-18T16:30:00-05:00,118,"0.37 x 982","0.37 x 599",0.37,900,ask,33300,1402,30908,50.81%,0.082433100649899,AUTO,N/A,"09:32:45 ET"
USO,80.65,Call,100,2026-03-20T16:30:00-05:00,28,"1.25 x 196","1.32 x 582",1.32,129,ask,17000,229,14180,72.14%,0.16790774733216,AUTO,N/A,"09:32:48 ET"
USO,80.65,Call,83,2026-02-25T16:30:00-06:00,5,"1.13 x 260","1.18 x 52",1.13,353,bid,39800,357,1813,54.58%,0.3409122653678,AUTO,N/A,"09:32:56 ET"
KWEB,32.0465,Call,32,2026-02-27T16:30:00-06:00,7,"0.64 x 27","0.96 x 1859",0.66,200,mid,13200,210,140,35.34%,0.5272699164191,AUTO,ToOpen,"09:33:00 ET"
IWM,263.27,Put,250,2026-02-27T16:30:00-06:00,7,"0.80 x 71","0.82 x 5",0.85,30000,ask,2550000,30008,32270,33.93%,-0.1284340539,MLFT,N/A,"09:33:08 ET"
IWM,263.27,Put,247.5,2026-02-27T16:30:00-06:00,7,"0.58 x 462","0.61 x 74",0.61,30000,ask,1830000,30002,870,35.43%,-0.0980873065,MLFT,BuyToOpen,"09:33:08 ET"
HYG,80.875,Put,80,2026-04-17T16:30:00-05:00,56,"0.55 x 97","0.55 x 540",0.55,1405,ask,77200,18024,186299,7.92%,-0.3306963651,ISOI,N/A,"09:33:08 ET"
SQQQ,72.79,Call,74,2026-02-20T16:30:00-06:00,0,"0.61 x 1502","0.68 x 154",0.61,305,bid,18600,420,2965,72.19%,0.33790196892311,AUTO,N/A,"09:33:08 ET"
SQQQ,72.79,Put,72,2026-02-20T16:30:00-06:00,0,"0.59 x 509","0.83 x 273",0.6,581,mid,34800,586,1016,63.00%,-0.3622816572,AUTO,N/A,"09:33:13 ET"
KWEB,32.04,Call,32,2026-02-27T16:30:00-06:00,7,"0.66 x 1488","0.67 x 127",0.67,127,ask,8500,431,140,36.10%,0.52549589254922,AUTO,N/A,"09:33:14 ET"
NVDL,86.79,Put,92,2026-02-20T16:30:00-06:00,0,"5.60 x 200","7.35 x 1007",5.6,200,bid,112000,201,494,108.78%,-0.8419635188,AUTO,N/A,"09:33:14 ET"
ZSL,2.2126,Put,1,2027-01-15T16:30:00-06:00,329,"0.15 x 3662","0.40 x 5560",0.2,684,mid,13600,2757,970,130.98%,-0.1000762958,AUTO,N/A,"09:33:19 ET"
TSLL,15.3186,Call,15,2026-02-20T16:30:00-06:00,0,"0.35 x 249","0.36 x 2325",0.35,249,bid,8700,414,2893,71.49%,0.721432302483,AUTO,N/A,"09:33:30 ET"
XLE,54.935,Put,52.5,2026-03-31T16:30:00-05:00,39,"0.96 x 438","1.00 x 81",1,521,ask,52100,626,3258,28.87%,-0.2921117955,AUTO,N/A,"09:33:31 ET"
BITO,9.2799,Call,10,2026-03-20T16:30:00-05:00,28,"0.22 x 1298","0.25 x 200",0.25,200,ask,5000,210,3883,52.65%,0.33706948109788,AUTO,N/A,"09:33:33 ET"
UVXY,40.11,Put,40,2026-02-20T16:30:00-06:00,0,"0.60 x 500","0.68 x 147",0.6,500,bid,30000,552,614,90.99%,-0.4667423942,AUTO,N/A,"09:33:35 ET"
HYG,80.885,Put,75,2026-04-17T16:30:00-05:00,56,"0.12 x 692","0.15 x 28",0.13,500,mid,6500,542,180990,13.58%,-0.0674026243,SLAN,N/A,"09:33:38 ET"
SLV,73.331,Call,74,2026-03-27T16:30:00-05:00,35,"6.20 x 801","6.35 x 509",6.3,1000,mid,630000,1037,339,71.16%,0.53390973514377,AUTO,ToOpen,"09:33:45 ET"
HYG,80.885,Put,80,2026-04-17T16:30:00-05:00,56,"0.55 x 424","0.58 x 260",0.55,250,bid,13700,20002,186299,7.95%,-0.3297800267,AUTO,N/A,"09:33:45 ET"
HYG,80.885,Put,80,2026-04-17T16:30:00-05:00,56,"0.55 x 174","0.58 x 146",0.55,174,bid,9500,20002,186299,7.95%,-0.3297800267,AUTO,N/A,"09:33:45 ET"
IBIT,38.05,Call,50,2026-08-21T16:30:00-05:00,182,"2.01 x 594","2.07 x 39",2.04,405,mid,82600,1602,5921,49.36%,0.28841721777817,MLET,N/A,"09:33:46 ET"
IBIT,38.05,Call,55,2026-08-21T16:30:00-05:00,182,"1.28 x 322","1.34 x 447",1.31,405,mid,53000,1605,2475,49.49%,0.20374205327067,MLET,N/A,"09:33:46 ET"
ETHA,14.705,Call,15,2026-02-27T16:30:00-06:00,7,"0.41 x 348","0.43 x 307",0.43,124,ask,5300,168,2048,67.15%,0.43659316856471,AUTO,N/A,"09:33:50 ET"
HYG,80.885,Put,80,2026-04-17T16:30:00-05:00,56,"0.55 x 466","0.57 x 131",0.55,250,bid,13700,20002,186299,7.95%,-0.3297800267,AUTO,N/A,"09:33:53 ET"
XLU,46.14,Call,47.5,2027-12-17T16:30:00-06:00,665,"4.20 x 230","4.85 x 566",4.5,200,mid,90000,302,437,22.90%,0.48054499222271,AUTO,N/A,"09:33:56 ET"
SQQQ,72.44,Put,71.5,2026-02-20T16:30:00-06:00,0,"0.03 x 714","0.75 x 2158",0.49,286,mid,14000,546,626,77.93%,-0.3650653342,SLAN,N/A,"09:34:01 ET"
HYG,80.885,Call,82,2026-03-20T16:30:00-05:00,28,"0.01 x 91","0.02 x 13",0.01,25000,bid,25000,25000,125766,2.59%,0.042408192251807,SLAN,N/A,"09:34:03 ET"
IWM,263.04,Call,266,2026-03-06T16:30:00-06:00,14,"3.98 x 30","4.04 x 33",4.04,600,ask,242400,600,2870,25.19%,0.42731321588752,SLAN,N/A,"09:34:07 ET"
IWM,263.04,Call,267,2026-02-20T16:30:00-06:00,0,"0.22 x 226","0.23 x 307",0.23,600,ask,13800,11203,17301,24.07%,0.11834280750575,SLAN,N/A,"09:34:09 ET"
HYG,80.885,Call,83,2026-03-20T16:30:00-05:00,28,"0.00 x 0","0.02 x 66",0.01,25000,mid,25000,25000,45781,4.54%,0.025983660725568,SLAN,N/A,"09:34:10 ET"
SLV,73.331,Call,160,2027-01-15T16:30:00-06:00,329,"4.70 x 543","4.90 x 134",4.9,996,ask,488000,2504,12309,72.38%,0.22821842273723,SLAN,N/A,"09:34:21 ET"
ETHA,14.705,Call,17,2026-03-13T16:30:00-05:00,21,"0.28 x 350","0.28 x 522",0.28,350,ask,9800,354,1025,67.06%,0.20945922421824,AUTO,N/A,"09:34:21 ET"
IWM,263.04,Put,251,2026-03-20T16:30:00-05:00,28,"3.45 x 404","3.49 x 158",3.45,1892,bid,652700,10243,54530,29.14%,-0.2604344697,AUTO,N/A,"09:34:26 ET"
GDX,104.818,Call,105,2026-02-27T16:30:00-06:00,7,"2.89 x 143","3.30 x 50",3.05,150,mid,45700,280,9921,51.00%,0.50822894154968,MLET,N/A,"09:34:27 ET"
GDX,104.818,Call,105,2026-02-20T16:30:00-06:00,0,"0.98 x 66","1.08 x 1",1.07,150,mid,16000,452,14333,46.15%,0.4775637664705,MLET,N/A,"09:34:27 ET"
SQQQ,72.44,Call,72,2026-02-27T16:30:00-06:00,7,"3.50 x 1670","4.25 x 102",3.5,198,bid,69300,217,871,74.59%,0.54672722125904,AUTO,N/A,"09:34:31 ET"
DIA,492.26,Put,490,2026-02-20T16:30:00-06:00,0,"0.95 x 21","1.05 x 452",1.06,400,ask,42400,516,2247,17.25%,-0.2991006447,AUTO,N/A,"09:34:36 ET"
IBIT,38.05,Put,37.5,2026-02-27T16:30:00-06:00,7,"0.86 x 270","0.90 x 20",0.9,9999,ask,899900,25379,2772,55.33%,-0.4067388207,SLAN,N/A,"09:34:38 ET"
UCO,24.85,Call,24,2026-03-20T16:30:00-05:00,28,"2.55 x 403","2.95 x 14",2.74,400,mid,109600,421,4029,87.92%,0.60879105445587,MLFT,N/A,"09:34:40 ET"
UCO,24.85,Call,23,2026-02-20T16:30:00-06:00,0,"1.65 x 375","2.30 x 660",1.99,400,mid,79600,455,2814,0.00%,0,MLFT,N/A,"09:34:40 ET"
USO,80.7,Call,115,2026-03-20T16:30:00-05:00,28,"0.57 x 1","0.57 x 213",0.57,470,ask,26700,486,1602,82.87%,0.07833812101096,AUTO,N/A,"09:34:47 ET"
IBIT,38.05,Call,50,2026-08-21T16:30:00-05:00,182,"2.02 x 4477","2.07 x 248",2.03,343,mid,69600,1602,5921,49.36%,0.28841721777817,MLET,N/A,"09:34:56 ET"
IBIT,38.05,Call,55,2026-08-21T16:30:00-05:00,182,"1.28 x 207","1.33 x 4917",1.32,320,mid,42200,1605,2475,49.49%,0.20374205327067,MLET,N/A,"09:34:56 ET"
IBIT,38.05,Call,55,2026-08-21T16:30:00-05:00,182,"1.28 x 207","1.33 x 4917",1.31,343,mid,44900,1605,2475,49.49%,0.20374205327067,MLET,N/A,"09:34:56 ET"
IBIT,38.05,Call,50,2026-08-21T16:30:00-05:00,182,"2.02 x 4477","2.07 x 248",2.04,320,mid,65200,1602,5921,49.36%,0.28841721777817,MLET,N/A,"09:34:56 ET"
HYG,80.885,Put,81,2026-02-20T16:30:00-06:00,0,"0.10 x 22","0.15 x 14",0.12,600,mid,7200,1000,52208,2.49%,-0.8681471523,SLAN,N/A,"09:34:58 ET"
XLE,54.935,Put,49,2026-03-20T16:30:00-05:00,28,"0.20 x 1163","0.25 x 499",0.25,499,ask,12400,530,11587,33.69%,-0.0991828015,AUTO,N/A,"09:35:00 ET"
TSLL,15.3186,Call,15,2026-03-20T16:30:00-05:00,28,"1.42 x 5","1.56 x 3499",1.41,138,bid,19400,183,3517,82.83%,0.58648217946634,AUTO,N/A,"09:35:04 ET"
IBIT,38.05,Put,37.5,2026-02-27T16:30:00-06:00,7,"0.87 x 233","0.90 x 154",0.9,620,ask,55800,25379,2772,55.33%,-0.4067388207,ISOI,N/A,"09:35:07 ET"
IBIT,38.05,Put,37.5,2026-02-27T16:30:00-06:00,7,"0.87 x 214","0.90 x 1168",0.91,4251,ask,386800,25379,2772,55.33%,-0.4067388207,SLAN,N/A,"09:35:07 ET"
TQQQ,48.69,Put,46,2026-02-27T16:30:00-06:00,7,"1.24 x 2","1.28 x 162",1.25,403,mid,50300,470,4902,84.96%,-0.2921593039,AUTO,N/A,"09:35:13 ET"
TLT,89.705,Call,90,2026-02-27T16:30:00-06:00,7,"0.38 x 2260","0.40 x 196",0.38,531,bid,20100,5018,14225,10.23%,0.42297570661587,ISOI,N/A,"09:35:19 ET"
IGV,81.52,Call,85,2026-03-20T16:30:00-05:00,28,"1.75 x 319","1.85 x 46",1.85,200,ask,37000,247,15197,36.12%,0.36635580631726,AUTO,N/A,"09:35:19 ET"
TLT,89.705,Put,85,2026-12-31T16:30:00-06:00,314,"2.13 x 31","2.17 x 130",2.15,910,mid,195600,2145,526,14.24%,-0.2772955305,AUTO,N/A,"09:35:20 ET"
MSOS,4.0825,Call,4,2026-02-27T16:30:00-06:00,7,"0.25 x 97","0.32 x 215",0.29,5000,mid,145000,5015,2366,100.80%,0.58747919290803,MLFT,ToOpen,"09:35:22 ET"
MSOS,4.0825,Call,4,2026-02-20T16:30:00-06:00,0,"0.12 x 176","0.15 x 16",0.12,10000,bid,120000,19116,33476,84.75%,0.68718711997606,MLFT,N/A,"09:35:22 ET"
TLT,89.705,Call,90,2026-02-27T16:30:00-06:00,7,"0.38 x 888","0.39 x 331",0.38,621,bid,23500,5018,14225,10.23%,0.42297570661587,AUTO,N/A,"09:35:29 ET"
SLV,73.331,Call,160,2027-01-15T16:30:00-06:00,329,"4.90 x 40","4.95 x 131",4.95,838,ask,414800,2504,12309,72.38%,0.22821842273723,ISOI,N/A,"09:35:36 ET"
IBIT,38.05,Put,38,2026-02-20T16:30:00-06:00,0,"0.26 x 559","0.28 x 186",0.26,330,bid,8500,3063,20189,36.27%,-0.466722733,AUTO,N/A,"09:35:37 ET"
TQQQ,48.69,Call,50,2026-02-20T16:30:00-06:00,0,"0.13 x 764","0.14 x 500",0.14,500,ask,7000,2545,15374,55.73%,0.18432085857979,AUTO,N/A,"09:35:38 ET"
TLT,89.705,Call,90,2026-02-27T16:30:00-06:00,7,"0.37 x 201","0.38 x 562",0.37,999,bid,36900,5018,14225,10.23%,0.42297570661587,SLAN,N/A,"09:35:40 ET"
IBIT,38.05,Put,38,2026-02-20T16:30:00-06:00,0,"0.25 x 805","0.27 x 239",0.25,303,bid,7500,3063,20189,36.27%,-0.466722733,AUTO,N/A,"09:35:46 ET"
ETHA,14.705,Put,20,2026-06-18T16:30:00-05:00,118,"5.75 x 915","6.30 x 1638",6.03,539,mid,325000,547,2967,71.00%,-0.7123652307,MLET,N/A,"09:35:46 ET"
ETHA,14.705,Put,20,2026-03-06T16:30:00-06:00,14,"5.15 x 619","5.90 x 1387",5.45,539,mid,293700,547,631,118.91%,-0.8868618435,MLET,N/A,"09:35:46 ET"
